Algorithm,Time per Hash,Hashes/sec,Guesses in 1 min,Guesses in 1 hr,Guesses in 1 day,Exhaust RockYou (14M),Brute-force 6-char,Brute-force 8-char,Brute-force 16-char
MD5,0.02 ms,48.6K,2.9M,175.0M,4.2B,4.9 min,164.2 days,"3,976 yrs",2.42e+19 yrs
SHA-1,0.00 ms,242.3K,14.5M,872.1M,20.9B,59.2 sec,33.0 days,798 yrs,4.86e+18 yrs
SHA-256,0.00 ms,239.5K,14.4M,862.2M,20.7B,59.9 sec,33.3 days,807 yrs,4.92e+18 yrs
Salted SHA-256,0.02 ms,60.2K,3.6M,216.6M,5.2B,4.0 min,132.7 days,"3,213 yrs",1.96e+19 yrs
bcrypt (10),79.04 ms,12,759,45.5K,1.1M,13.1 days,"1,729 yrs",15.3M yrs,9.31e+22 yrs
bcrypt (12),314.91 ms,3,190,11.4K,274.4K,52.3 days,"6,889 yrs",60.9M yrs,3.71e+23 yrs
bcrypt (14),1.3 sec,0,47,2.9K,68.6K,209.1 days,"27,545 yrs",243.4M yrs,1.48e+24 yrs
